id;occupied;socket;silence;learning_area_id
1;false;false;false;1
2;false;false;false;1
3;false;true;false;1
4;false;true;false;1
5;false;true;true;1
6;false;false;false;1
7;false;true;false;1
8;false;false;true;1
9;false;true;true;1
10;false;false;false;1
11;false;false;false;2
12;false;false;false;2
13;false;true;false;2
14;false;true;false;2
15;false;true;true;2
16;false;false;false;2
17;false;true;false;2
18;false;false;true;2
19;false;true;true;2
20;false;false;false;2
21;false;false;false;3
22;false;false;false;3
23;false;true;false;3
24;false;true;false;3
25;false;true;true;3
26;false;false;false;3
27;false;true;false;3
28;false;false;true;3
29;false;true;true;3
30;false;false;false;3
